"year";"GDP";"GDPLY";"GDPLLY";"avgFoodPrice";"avgFoodPriceLY";"avgWage";"avgWageLY";"GDPpct";"GDPpct2";"wagePct";"foodPct"
2007;208469898850.69;197470142753.551;184954402823.471;48.59354868742371;45.51596478632484;22537.21250000;21083.72500000;5.57;12.71;6.8900;6.76
2008;214070259127.502;208469898850.69;197470142753.551;51.60009085841697;48.59354868742371;24272.91250000;22537.21250000;2.69;8.41;7.7000;6.19
2009;204100298391.036;214070259127.502;208469898850.69;48.290458333333326;51.60009085841697;25022.00000000;24272.91250000;-4.66;-2.1;3.0900;-6.41
2010;209069940963.177;204100298391.036;214070259127.502;49.22943822843823;48.290458333333326;25503.57500000;25022.00000000;2.43;-2.34;1.9200;1.94
2011;212750323790.759;209069940963.177;204100298391.036;50.87848931623932;49.22943822843823;26100.66250000;25503.57500000;1.76;4.24;2.3400;3.35
2012;211080224602.858;212750323790.759;209069940963.177;54.3030235042735;50.87848931623932;26860.45000000;26100.66250000;-0.79;0.96;2.9100;6.73
2013;210983331025.624;211080224602.858;212750323790.759;57.07155341880343;54.3030235042735;26460.40000000;26860.45000000;-0.05;-0.83;-1.4900;5.1
2014;215755991069.112;210983331025.624;211080224602.858;57.492452991452986;57.07155341880343;27145.73750000;26460.40000000;2.26;2.22;2.5900;0.74
2015;227381745549.048;215755991069.112;210983331025.624;55.81986752136751;57.492452991452986;27858.27500000;27145.73750000;5.39;7.77;2.6200;-2.91
2016;233151067380.883;227381745549.048;215755991069.112;55.026944444444446;55.81986752136751;28882.07500000;27858.27500000;2.54;8.06;3.6800;-1.42
2017;245202003265.939;233151067380.883;227381745549.048;60.596617521367506;55.026944444444446;30671.30000000;28882.07500000;5.17;7.84;6.1900;10.12
2018;253045172103.95;245202003265.939;233151067380.883;61.858476495726485;60.596617521367506;33039.02500000;30671.30000000;3.2;8.53;7.7200;2.08
